Text,True Label,Predicted Label,Real Category,Subcategory,Original Raw Text
mortgage loan   receive leter tet mesage chase advise mortgage loan transfer receive welcome leter know send mortgage payment concern know past loan transfer day grace period situate automatic mortgage payment   chase bank acount fluster aware money bank acount authorize money acount receive welcome leter day rate mortgage chase acount let chase provide information include bank information loan chase set auto draft come acount month   apeare automatic withdrawal acount cale chase customer service hold hour ask representative payment advise apeare payment authorize set tell hear company ask mortgage know ask phone number asociate transaction wasn helpful hang drive chase branch speak manager nede apointment banker wait car loke acount bring form fil dispute transaction ask mortgage tell tok money acount authorization know phone number asociate transaction branch manager cale hear ofice advise tel nede close bank acount open new change pasword asume ofice able se tok advice apointment branch acount close open new meet banker change email adre pasword open new acount   receive disturbing leter chase advise close acount perpleed think refer acount close acount number new acount open cale number leter representative acount close   ask chase reason state open acount agre sign form chase close acount time banker prety singe document behalf covid decision turn nede money acount proce acount close puzle leter conversation idea hapene treat way decide set payment bil come check acount institution chase son close website set mortgage payment institution gue payment authorize   mortgage payment tok mortgage payment diferent diferent   unbeknownst thought victim fraud lot acount close reopen new aditionaly prepare money acount strese mention chase elect close acount year misunderstanding chase provide company information tok money acount use diferent withdrawal tok diferent payment unknown transaction apeare acount cale visit chase branch ask mortgage number cal find transaction tell cale tell company ask diferent agre aditional principal payment tell speak company speak   payment     set withdrawal ask authorize change date    answer question time folk stre level high treat institution fault,2,3,Bank Account or Service,Checking or savings account,"I have had a mortgage loan with Chase Bank since XXXX. However, on XX/XX/XXXX, XXXX I received a letter and a text message from Chase advising me that my mortgage loan was transferred to XXXX XXXX XXXX XXXX. I had not received a welcome letter from XXXX I did not know where to send my mortgage payment. However, I was not too concerned because I know in the past if my other loan was transferred, I had a 60day grace period to get everything situated. 

On XX/XX/XXXX, I had an automatic mortgage payment from XXXX XXXX XXXX taken from my Chase Bank account in the amount of {$890.00}. 

I was a little flustered because I was not aware the money was going to be taken from my bank account. I never authorized XXXX to take any money out of my account. I had just received a welcome letter from them 2 days prior. At any rate, I said to myself- if the mortgage would have still been with Chase , they would have taken it out of my account so I let it go. 

Apparently- Chase provided XXXX all of my information including my bank information. My loan with Chase was set up on auto draft and came out of my account every month on the XXXX so it appeared XXXX was doing the same. 

That said, on XX/XX/XXXX, XXXX I had an automatic withdrawal from my account from XXXX XXXX XXXX in the amount of {$920.00}??? 

I called Chase Customer Service I was on hold for literally an hour. I asked the representative what the payment was for? She advised- it appeared to be a payment I had authorized and set up. I told her I had never heard of the company before and asked if it was for a mortgage? She said she didn't know. I asked if there was a phone number associated with the transaction- she said no. She wasn't very helpful so hung up with her and I drove to the Chase Branch in XXXX, CA. I spoke with the manager XXXX. He said I needed to make an appointment because he only had 1 banker. However- as I waited in my car, he looked up my account and brought me back some forms to fill out to dispute the transaction. I asked him as well if it was for a mortgage and told him how XXXX took money out of my account without my authorization. He also said he didn't know and said there was no phone number associated with the transaction. 

Around XXXX XXXX the branch manager called me and said he heard back from his back office and they advised him to tell me that I needed to close my bank account and open a new one and change my passwords. 

I assumed that someone from the back office was able to see something that I could not so I took his advice and made an appointment with the XXXX branch to have my account closed and open a new one. 

I met with XXXX the banker in XXXX and she had me change my email address and passwords to open up the new account. 

On XX/XX/XXXX I received a very disturbing letter from Chase advising they were closing my account. I was very perplexed and thought they were referring to the account I had previously closed until I saw the account number- it was the new account I had just opened!!! 

I called the number on the letter XXXX XXXX XXXX and the representative said my account was going to be permanently closed on XXXX XXXX. I asked her why- she said Chase does not have to give a reason. She further stated when I opened the account I agreed by when I signed the forms that Chase could close my account at any time. Even though, the banker pretty much singed all the documents on my behalf because of COVID-19. Anyway, she said the decision could not be over turned. And that I needed to have my money out of the account by XX/XX/XXXX or it would be a process for me to get it after the account is closed. 

I was very puzzled by the letter and the conversation and had no Idea what happened or why I was being treated this way. 

I decided to go online and set up payments for my bills to come out of a checking account that I had with another institution since this one with Chase would soon be closed. 

I went to XXXX XXXX XXXX XXXX website to set up my mortgage payment with the other institution and guess what??? it said my last payment to them was made on XX/XX/XXXX in the amount of {$920.00}??? 

Put Simply, I never authorized for XXXX to take out a mortgage payment on XXXX XXXX but they did. Then they took out XXXX 's mortgage payment not on XX/XX/XXXX but XX/XX/XXXX for a different amount and it was under a different name XXXX XXXX XXXX. 

Unbeknownst to me I thought I was a victim of fraud and went through a lot to get the account closed and to reopen a new one. Additionally- I was not prepared for XXXX XXXX XXXX to take money out of my account. I have been stressed and XXXX ever since not to mention- Chase has elected to close my account after all these years due to a misunderstanding. 
Chase provided the company my information. They took money out of my account- twice. They used different names for the withdrawal 's and took out different payment amounts Once again, when the unknown transaction appeared on my account, I called and visited a Chase Branch- I asked if it was for a mortgage and if there was a number, I could call to find out what the transaction was for- I was told NO. 
When I called XXXX- I was told they go by both company names. I also asked why did they take out different amounts- he said I agreed to have them take out an additional principal payment. I told him, I never spoke to anyone from his company before and I definitely hadn't spoken to anyone between XX/XX/XXXX to XX/XX/XXXX. He also said the payment taken out of the XXXX was done manually and the one on the XXXX was set up on the withdrawal. I further asked him, who authorized XXXX to change the date from the XXXX to the XXXX he could NOT answer the question. 
This is really a mess and at a time like this when folks stress levels are already high-I have been treated unfairly by both institutions at no fault of my own."
start   al credit card atm card clone use stil card paperwork sort     hard checking acount compromise time use clone card chase money temp basis leave overdraw dolar money deposit overdraft charge borow cash family credit card compromise time fraud case setle favor stil progre recent denial chase unauthorized use atm card deny card chip enable use chip enable store slate credit card famous chip use time stil card card replace time new way slate aprove claim chase bank pay bil credit score point help fight batle chip research find protect law fair credit bil federal trade comision fyi credit card use electronic department start check op wonky finger hit cap lock telephone chase fraud people ask reopen case investigation request deny able atach document photo card replace chip,2,1,Bank Account or Service,Checking or savings account,"Starting in XX/XX/XXXXall of my credit cards and ATM card have been cloned and used. I still have the cards I have a box of paperwork, too much for me to even sort. my XXXX last XX/XX/XXXXmakes everything hard to do. my checking account with Chase bank has been compromised several times by use of a cloned ATM card. sometimes Chase gives the money back, sometimes they give it on a temp basis and then take it away, leaving me suddenly overdrawn by hundreds of dollars. i have no money to deposit so i get overdraft charges until i borrow some cash from my family. also my credit cards have all been compromised many times. some fraud cases are settled in my favor, some are still in progress. my most recent denial by chase for the unauthorized use of my ATM card was denied because the card was chip enabled and used at a chip enabled store. my Slate credit card also has the famous chip and it gets used all the time and i still have the cards. so far the card has been replaced 6 times with a new one on the way now. Slate approves my claims, why does n't chase ... same bank. i can not pay my bills and my credit score is down 60 points. please help me fight the battle of the chip. My research found that I am protected by law such as the Fair Credit Bill and the Federal Trade Commission. FYI MY CREDIT CARDS ARE ALMOST EXCLUSIVELY USED AT XXXX IN THEIR ELECTRONICS DEPARTMENT. CAN SOMEONE MAKE THEM START CHECKING ID? Opps my wonky fingers hit the cap lock also i telephone the chase fraud people and ask if they could please reopen my case so i could do some investigation, they said my request was denied. I was n't able to attach documents. i have photos of 10 cards that have been replaced. all of them have the chip"
cale chase eecutive time today hot credit charge false triple,2,1,Bank Account or Service,Checking or savings account,I called Chase executive office 6 times today- can not get through. Never hot {$130.00} credit from XXXX XXXX XXXX  and {$340.00} charge is false triple.
want chase remove year old bankruptcy mortgage statement procede ruin credit repot bankruptcy taking payment history,0,3,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","I wanted Chase to remove the 10 year old bankruptcy from my mortgage statement. They did not. They then proceeded to ruin my credit by re repoting the bankruptcy, and taking off my payment history. WHY???"
yesturday report phone rpeort number write try cal hour cale complaint center report report tell care dare hang report goten operator complaint number email complain chase people rude mismanage acount hang help tel help similar isue adrese change bank input knowledge want know civil suit work information aprehension,2,0,Bank Account or Service,Checking or savings account,yesturday i reported something over the phone and did not get a rpeort number so i am writing to you. i tried to call chase bank at XXXX XXXX XXXX XXXX XXXX and could not get through for just under an hour. i then called their complaint center at XXXX to report this. he said they dont do that and i said i would report him to you. he rudely told me he did not care and dared me too. then he hung up. a report to you might have gotten thru at XXXX from operator XXXX. i could not get a complaint number and he said it would be on email-which it is not. i complained about chase once before and people are very rude now. if its not for you they may mismanage my account. why did they hang up if you cant help tell me who can since others have said you helped them on similar issues. addresses change at the bank with out my input or knowledge. is there something going on they dont want me to know because of a civil suit. id work with them if they gave information for an apprehension.
chase card update balance credit bureaus,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",Chase card has not updated my balance which is XXXX $ with the credit bureaus.
notify chase wish contact rep change date    work chase claim fault catch time notify credit afecte advise date change come lose job medical pay want courtesy credit report fact change date catch acount fault aes change date want leter phone cal chase loan know late numerous time speak   change tell busine acount curent ask date change   work budget fel aes mislead continue day mark credit report prevent aplye high pay oportunitie mother help medical leave wek deal isue change date creditor hard time change date date time frame cale   tell date change acount curent time mean acount dishonest try chase,3,1,Loans,Student loan,"I notified Chase that I did not wish to have any contact with XXXX, their rep changed my due date from the XXXX to the XXXX which will never work, but Chase claims it is my fault. I ca n't catch up this at this time which they were notified of. My credit has been affected by this, I advised the due date change came from AES not me, I can lose my job over this and plus I have a medical bill to pay. I want my courtesy credit report due to the fact that XXXX changed my due date. I CAN NOT CATCH UP THE ACCOUNT AND IT IS NOT MY FAULT THAT AES CHANGED THE DUE DATE, I do not want my letters or phone calls from XXXX or Chase on this loan because they know why it is late because I them numerous times. I have spoken to XXXX on XX/XX/2017 and XX/XX/2017 to see if my due change was done, I was told it can take up 7-10 business but the account was current when I asked for the due date change. The XXXX does not work with my budget and it is going late. I feel that AES is misleading me again, I ca n't continue to have 30 day marks on my credit report which is preventing me from applying to higher paying opportunities, my mother was helping me but she had to have XXXX and was on medical leave for 6 weeks to recover. I dealt with XXXX on this issue before and they did change the date. This is the only creditor that I have that is giving me a hard time about changing the due date, when the rep on XX/XX/2017 put in my due date I was never given a time frame. I called back on XX/XX/2017 and then I was told the due date change my not go even though the account was current at that time. This means my account will go past due again. XXXX is dishonest which is what I have been trying to tell Chase."
year start contact bank year find checking saving acount opende dispute proce chase tell end investigation find information acount able remove credit report able open acount month phne cal email turn hold fault acount track able open acount report chase credit card open stil hear like able open acount chase promise like know credit card open,1,0,Credit Cards and Prepaid Cards,Credit card or prepaid card,"About a year ago I started contacting Chase bank about a year ago. I had found out that there had been a checking and savings account opended up under my name. I went through the dispute process with Chase. They told me at the end of the investigation that If they found enough information that the account was not mine, they would be able to remove it from my credit reports, XXXX etc and then I would be able to open an account with them Fast forward after months of phne calls and emails with them. Turned out they did not hold me at fault for the account, but then back tracked that I could not be able to open an account with them. Also, I had reported to them that there was a chase credit card that was also opened up fraudluently under my name. I still have no heard anything back on that. I would like to be able to open an account with Chase like promised, and also would like to know what is going on with this credit card that I did not open."
receive statement chase regard act end balance leter state action neded pay student loan balance ful leter adrese previous maried receive balance owe student loan default loan pay ful balance receive statement chase year chase sell loan state website student loan transfer active acount pay credit report chase student loan notice receive chase,0,3,Credit Reporting and Debt Collection,Debt collection,"I received a statement from Chase on XX/XX/19 regarding an Act ending XXXX Balance : {$5600.00} Creditor : JPMorgan Chase Bank, N.A. 

The letter states that Action Needed : Please pay your student loan balance in full. 
The letter is addressed in my previous married last name XXXX. 
It says they haven't received the balance owed on my student loan and that I have defaulted on my loan, and must pay the full balance. 
I have not received a statement from Chase in over 12 years. Chase sold my loan to XXXX ( also stated on their website, that all student loans were transferred to XXXX ). I have an active account with XXXX, that I have been paying on. 
Nowhere on any credit report does it show a Chase student loan. This is the first and only notice I have received from Chase."
chase refuse remove unverifie inacurate information credit report dispute acount information inacurate time able validate acount evidence obligation pay debt credit card company scamer target elder perceive vulnerable isolate lonely disable unfamiliar handle finance fcra require verify validity item day validity verify obligate law remove item clear case unverified debt urge remove item force legal action event verify item pursuant fcra continue list dispute item credit report find necesary sue actual damage declaratory relief fcra acorde regulation sue qualified state federal court include smal claim court area m cont act adult protective service help prefer litigate wil use court neded enforce right fcra,1,0,Credit Cards and Prepaid Cards,Credit card or prepaid card,"Chasee refuses to remove unverified and inaccurate information on my credit report. I have disputed  XXXX  accounts information as inaccurate with them several times and they were never able to validate this account. I was given no evidence of my obligation to pay this debt to this credit card company.
They are scammers targeting elders like myself that they perceive to be vulnerable -- those that are isolated, lonely, physically or mentally disabled, unfamiliar with handling their own finances.
The FCRA requires you to verify the validity of the item within 30 days. If the validity can not be verified, you are obligated by law to remove the item. There is a clear case of unverified debt here, and I urge you to remove this item before I am forced to take legal action.
In the event that you can not verify the item pursuant to the FCRA, and you continue to list the disputed item on my credit report I will find it necessary to sue you for actual damages and declaratory relief under the FCRA. According to this regulation, I may sue you in any qualified state or federal court, including small claims court in my area. Im also cont acting Adult Protective Services for  help.
While I prefer not to litigate, I will use the courts as needed to enforce my rights under the FCRA."
bo receive phone chase number claim fraudulent activity complete chase claim money send unauthorized enrol enrol phone instruct way thre way report fraudulent activity   recipient send money step mother proce enrol enrol phone thre way phone confirm unauthorized payment second payment acount confirm pende enrol enrol complete step cal drop scamer leave line minute money drain acount cale bank cancel card report fraudulent activity cale chase report fraudulent activity open claim wek claim deny chase refuse reopen claim asist recoup money deme instruct forget money leave acount transaction acount acounte dead end asist win asist figure money help,4,2,Money Transfers and Financial Services,"Money transfer, virtual currency, or money service","On XX/XX/XXXX at approximately XXXX, my boss received a phone call from the chase 1800 number claiming that there had been fraudulent activity completed through his Chase XXXX through XXXX. They claimed that money was sent, unauthorized to me. They then had him un-enroll and re-enroll with XXXX through the phone and then instructed him to three way call me. During the three way call, they reported the same fraudulent activity on my XXXX XXXX through XXXX to my last recipient I sent money to which was my step mother, XXXX XXXX. They went through the same process, un-enroll and re-enroll me on XXXX through the phone and had me three way her. While on the phone with her, they confirmed an unauthorized payment of {$100.00} and a second payment of {$1100.00} from my account to hers, which she confirmed she saw it pending, they had her un-enroll and re-enroll. Once she completed those steps, the call dropped and the scammer had left the line. Within minutes both amounts of money was drained from my account. XXXX had called her bank and cancelled her card and reported the fraudulent activity. I had also called chase and reported the fraudulent activity and they opened the claim. It has now been XXXX weeks, the claim has been denied and Chase refuses to reopen the claim and assist me with recouping the money, they deemed it as a loss and have instructed me to forget about it and move on. All the money has left my account, the {$100.00} transaction had made it to XXXX 's account however the {$1100.00} had not made it and is not accounted for. I'm at a dead end, XXXX can not assist me and Chase won't assist me in figuring out where this money went and how to get it back. Please help!"
chase private banking client chase saphire check acount yesterday family use wire transfer transfer chase saphire check acount chase saphire check acount chase policy wire transfer outgoing incoming wire transfer meantime family pay wire transfer fes bank initiate wire transfer receive chase checking acount deposit chase check acount wire transfer chase charge incoming wire transfer family inquire bank tell wire transfer receive bank confirm mising charge chase receive bank report isue chase private client customer service representative treat resolve isue disapointed chase bank customer service escalate isue cfpb request chase post chase saphire check acount chase charge,2,4,Bank Account or Service,Checking or savings account,"I am a Chase private banking client with Chase Sapphire checking account. Yesterday my family in XXXX used wire transfer to transfer {$5000.00} to my Chase Sapphire checking account. For Chase Sapphire checking account, per Chase policy, there should be no wire transfer fee for either outgoing or incoming wire transfers. Meantime, my family already paid separately the wire transfer fees to XXXX bank, in which they initiated this wire transfer. Therefore, the amount that I should receive in my Chase checking account should be exactly {$5000.00}. However, there was only {$4900.00} deposited into my Chase checking account from this wire transfer. Apparently, Chase charged me {$15.00} hidden fee for this incoming wire transfer. My family further inquired with XXXX bank and was told by XXXX bank that the wire transfer amount that I should receive should be exactly {$5000.00}. XXXX bank confirmed that the missing {$15.00} must be charged by Chase as the receiving bank.

I reported this issue to Chase Private Client customer service. However, Chase representative treated me very impatiently and unprofessionally. She didn't resolve this issue at all. I am very disappointed with your Chase Bank customer service. 

I am escalating this issue to CFPB, and am requesting Chase to immediately post the {$15.00} to my Chase Sapphire Checking account because Chase should NOT charge me this {$15.00} fee at all."
month   family afecte   stop work impact vary dificult month cale chase auto inform impact able pay car payment time hospitalize wek come home wasn able return work body nede time inform late payment rear loan start pay car payment hapene return work resume pay car payment chase auto report day credit reporting agency bad credit rating falen   pay car payment time thre month inform payment defer negative mark credit file payment defer fear loan chase auto defer late payment negative mark payment defer like corection credit file reflect late payment thre month,0,3,Credit Reporting and Debt Collection,Debt collection,"In the months of XXXX, XXXX and XX/XX/2020, My family and I was affected by XXXX XXXX. I was XXXX and had to stop working due to XXXX that had impacted me doing those vary difficult months. I called Chase Auto to inform them I was impacted by the XXXX, and weren't able to pay my car payments at that time. I had been hospitalized for five weeks due to the XXXX. After I came home, I wasn't able to return back to work right away because my body needed time to fully heal. Chase Auto informed me that they would put those three late payments in the rear of the loan and I could start paying car payments as though nothing ever happened. I returned back to work and resume paying my car payments again. Chase Auto reported that I was XXXX days late to the credit reporting agencies and gave me a bad credit rating because I had fallen XXXX with XXXX   XXXX, and could not pay my car payments on time these three months. I was informed that when payments are deferred, you do not get any negative marks on the credit file because the payments are deferred and put in the fear of the loan. Chase Auto deferred the three late  payments and still gave me the negative marks as if the payments were not deferred. I would like for them to make the corrections so that my credit file will reflect on late payments for these three months."
