Text,True Label,Predicted Label
debit card mail open mail   bank acount cale acount shut person open acount use sn dob curent adre cale thing morning alert chase bank fraud instruct people speak fraud department advise file police report complete hour submit identification meet bank representative fil identity theft declaration claimant form person open acount idea open acount epect chase suspect know note personal electronic signature card acount open isue email provide acount doesn eist chase diligence send confirmation tet email know phone number email adre asociated acount wrong husband phone number contact number egregious eror chase fact comply banking standard require source valid identification acorde electronic signature card state isue card acepte number isn corect number numeral form identification perpatrator use digit postal code folow zip code number authenticate state isue second form identification provide violate bank policy acorde fdic miscelaneous statute regulation rule bank subpart fdefinition customer verification cip contain procedure verify identity customer use information obtain acordance paragraph section reasonable time acount open procedure describe bank use document non documentary method combination method describe paragraph verification document bank rely document cip contain procedure set document bank use document include individual unepired government isue identification evidencing nationality residence bear photograph similar safeguard driver license pasport person individual corporation partnership trust document eistence entity certify article incorporation government isue busine license partnership agrement trust instrument verification non documentary method bank rely non documentary method cip contain procedure describe non documentary method bank use method include contact customer verify customer identity comparison information provide customer information obtain consumer reporting agency public database source check reference financial institution obtain financial statement bank documentary procedure adre situation individual unable present unepired government isue identification document bear photograph similar safeguard bank familiar document present acount open obtain document customer open acount apeare person bank bank present circumstance increase risk bank wil unable verify true identity customer document aditional verification certain customer cip adre situation base bank risk asesment new acount open customer individual bank obtain information individual authority control acount include signatory order verify customer identity verification method aplie bank verify customer true identity use verification method describe paragraph section lack verification cip include procedure respond circumstance bank form reasonable belief know true identity customer procedure describe bank open acount term customer use acount bank atempt verify customer identity bank close acount atempt verify customer identity fail bank file suspicious activity report acordance aplicable law regulation recordkepe cip include procedure maintain record information obtain procedure implement paragraph section require record minimum record include identify information customer obtain paragraph section description document rely paragraph section note type document identification number contain document place isuance date isuance epiration date description method result measure undertake verify identity customer paragraph section description resolution substantive discrepancy discover verify identify information obtain retention record bank retain information paragraph section year date acount close case credit card acount year acount close dormant bank retain information paragraph section year record majority leg work initiate investigation mater corporate ofice release information regard acount police report information social security number date birth adre husband phone number point consume day contact agency order submit report chase prove fraud way inhibit practice violate fdic regulation detective tok report incredulous situation evident report chase responsible situation negligence fail aplication procedure tell time suspicious acount flag meet critera set fdic shut day review acount initiate case acount hapen review inquiry bring atention day isue identification deposit acount open money federal investigation complete severe penalty enforce research complaint available discover bank freeze open acount large deposit suspect fraud evidence dificult nature request information fraudulent acount available complaint evidence chase beind derelict obligation honor corect identify information regard acount available atempte respond mater atention require corporate level prove contentious lie fraud local branch eceptional deal want note outstanding cale fraud department transfer time seme know adre situation speak customer protection group state way know read department work begin ask question regard acount open state information release police report state acount review team flag acount suspicous restrict ask time hapene state tell inacurate information time discover debit card cale acount close declare fraudulent adition negligence dereliction duty behalf husband skiled responder major national event day chase principle fraud investigator adition rare condition eacerbate stre symptom ecruciating stresful event principle fraud investigator treat seriousne require symptom unbearable chase bank fine pay time principle fraud investigator behalf reimburse event cause symptom worsen primary care giver   child,2,4
yesturday report phone rpeort number write try cal hour cale complaint center report report tell care dare hang report goten operator complaint number email complain chase people rude mismanage acount hang help tel help similar isue adrese change bank input knowledge want know civil suit work information aprehension,2,0
chase card update balance credit bureaus,0,1
notify chase wish contact rep change date    work chase claim fault catch time notify credit afecte advise date change come lose job medical pay want courtesy credit report fact change date catch acount fault aes change date want leter phone cal chase loan know late numerous time speak   change tell busine acount curent ask date change   work budget fel aes mislead continue day mark credit report prevent aplye high pay oportunitie mother help medical leave wek deal isue change date creditor hard time change date date time frame cale   tell date change acount curent time mean acount dishonest try chase,3,0
recording fraudulent document lose note believe securitization,3,0
year start contact bank year find checking saving acount opende dispute proce chase tell end investigation find information acount able remove credit report able open acount month phne cal email turn hold fault acount track able open acount report chase credit card open stil hear like able open acount chase promise like know credit card open,1,0
receive statement chase regard act end balance leter state action neded pay student loan balance ful leter adrese previous maried receive balance owe student loan default loan pay ful balance receive statement chase year chase sell loan state website student loan transfer active acount pay credit report chase student loan notice receive chase,0,3
chase refuse remove unverifie inacurate information credit report dispute acount information inacurate time able validate acount evidence obligation pay debt credit card company scamer target elder perceive vulnerable isolate lonely disable unfamiliar handle finance fcra require verify validity item day validity verify obligate law remove item clear case unverified debt urge remove item force legal action event verify item pursuant fcra continue list dispute item credit report find necesary sue actual damage declaratory relief fcra acorde regulation sue qualified state federal court include smal claim court area m cont act adult protective service help prefer litigate wil use court neded enforce right fcra,1,0
payment schedule schedule date payment schedule ful balance payment credit acount debit check acount chase credit payment,1,2
aware acount open bank aplie credit card deny delinquency bank inform chase bank acount bank loke sn system find acount open sn half hour phone chase reach security fraud team chase ask fa copy sn card problem situation try report identity theft fraud company want prove fa sn card location determine destination talk imediate credit report fingertip indicate sn conecte place burden prof prove fail perform diligence verify person open acount sn underwhelme service chase delinquent obtain suficient identification seek achieve money form loan place burden identity apear chase sell loan strong arm colection agency ask pay money crazy time upset chase program ashamed,1,0
month   family afecte   stop work impact vary dificult month cale chase auto inform impact able pay car payment time hospitalize wek come home wasn able return work body nede time inform late payment rear loan start pay car payment hapene return work resume pay car payment chase auto report day credit reporting agency bad credit rating falen   pay car payment time thre month inform payment defer negative mark credit file payment defer fear loan chase auto defer late payment negative mark payment defer like corection credit file reflect late payment thre month,0,3
atm card vacation use card atm withdrawal lot purchase stil vacation fraud tok place date date date date purchase date purchase store date purchase date purchase date purchase date purchase store date purchase date purchase purchase store purchase date purchase date,2,1
inquire equity line credit mutual chase bank pose branch sign midle find branch manager notary comision number ded trust sign loan balance   steal identity embezle dolar electronic deposit reason embezlement deposit charge equity line evidence prof fraud sign authorize identity,0,2
represent power atorney mother case   complaint contain new information document relate mother ownership home law enforcement real estate fraud quitclaim de fraud crime report agravate identity theft response claim bank investigator demand response document evidence determine quitclaim de question forge document number record fact detective comercial crime division contact bank investigator detective asigned case number detective detective asigned case asert fact quitclaim de note forgery base statement recieve detective state forge document party document transaction meet mother apear identification information transaction list line item search ledger detective chase bank investigator fre contact regard mater isue fact bank produce mortgage note service agrement original note holder right colect monthly payment demand know financial claim mother lender pay loan mutual bank chase bank colect phantom debt sugest chase bank investigator lok fact filing forge fraudulent document felony refer penal code filing false document diligence require find file fraudulent quitclaim de fraudulent grant de document number date bank investigator transparent investigation produce evidence thi determination obvious crime comite title cloud,0,3
create online banking acount bank state create acount direct deposit award sign use verified adrese input unemployment direct deposit net day aparent reason chase decide lock acount valid reason shut customer service option phone chase ask provide utility bil previous adre provide leter confirm prof adre avail acount stil lock chase refuse help lose wek unemployment chase bounce valid direct deposit acount wrong customer representative unhelpful rude,0,2
fact case   payment chase checking acount aplied chase credit card   payment credit card balance net day duplicate payment   pule chase check acount aplied chase credit card balance chase credit card reach bank tell stop payment chase acount wait second payment hardpost credit card sek ach refund ocur day cale payment post transfer department try figure chase help tell chase credit card suport receive email day claim ach refund day refund day run chase receive email credit credit card payment remove credit refunded chase check acount cal email chase result tel refund receive tel pule credit card receive receive generic response state wek unethical client money return asap unethical credit mise acount banking chase long time apale client money kep limbo fit,1,2
contact creditor company time fail provide necesary document prove acount debt belong result credit rating,1,0
open chase card wife card acount number payment time pay balance ful month monitor card acount profile payment profile payment begining restrict profile ace acount problem proce dispute charge atache dispute sumary file chase deny ace acount require mail sumary chase branch chase branch fa dispute form personal profile ace acount atach response secure mesage chase com cost hour time dificult eercise right wife want ace iritate able care isue card chase policy dificult pay bil likely wil payment fail respond dispute corespondence timely maner fail pay ful statement balance time charge fes action mean dificult pay bil likely charge fes good interest monetary system people able pay bil bank create arbitrary rule dificult consumer pay bil likely bank fes negative impact monetary system require chase authorized spouse ace acount joint acount share card isue ace fact ne time write complaint sad hope person chase rule lose job,1,2
contact chase ask opt increase apr increase deny ask help decrease apr try save mom life able asist chase want help tell chase mom come refinance house pay care want ding credit deny refinance force file bankruptcy want help strugling time,1,3
card service stop bil come home discover bil come cale chase card service tell reason contact base cease desist ask cease desist come tell system generate time chase card service report negative information credit bureaus drive credit score new employment oportunitie continue resolve situation enter payment plan eliminate debt eplain thre payment negative information remove hapened chase card service renege agrement continue payment payment plan withdraw check acount month behold chase card service stop withdraw check acount knowledge consent report credit bureau renege payment plan violate consumer act question unfair deceptive,1,0
company respond stil work isue case company ne time respond receive final response day date send complaint company company interim response notify case cale discus situation leave voice mesage contact information return begin research concern ne time complete epect leter answer thank patience unaceptable lie chase isue ocure,3,1
receive cal heloc short payment cale claim payment use coupon provide statement month   pay statement date minimum payment line coupon state payment payment cash post system   claim payment month   payment receive statement cover date minimum payment coupon date bank statement check cash statement date receive payment basicaly sequential statement eact request email copy include payment voucher match payment claim payment payment   pay short payment owe     etra payment try speak customer service try convince document prof include statement folow research person contact understand department incorect cale morning eplanation condecende claim file bankruptcy year statement incorect lok coupon payment match coupon prof pay pay etra mistake customer system clitch etra revenue,3,1
insurance pay ful chase auto loan today try refinance curent auto loan low rate turn reason score drop pt open past chase auto loan ne mater care asap,0,3
loke report notice vehicle return dealership report incorect oportunity talk lawmaker friend learn basic law regard voluntary reposesion vehicle law mas state statute deficiency claim unle require notice alowable redemption cure time limit adhere remove,3,0
wek contact chase regard fraud charge    card   wek initiate contact vendor credit fraud charge wek chase person email location chase continue alow charge debit card close card wait day new card contact person stop late charge debit,2,1
   use online payment pay credit card use wrong check acount belong e husband mistake day receive phone e husband inform mistake cale chase ask knowledge handle transaction reverse payment actual payment card time big isue woman inform handle problem day loke acount notice retiurn pay payment reverse second chase actualy create transaction transaction pay etra   mistake charge mistake acount reciver money end ask return refuse corect mistake time aprove protect return pay etra charge spend hour phone mislead yele lie payment department ask investigate problem botom money yele tell bad pay mistake mistake bank unfair charge mistake,1,2
company bankruptcy case serve notification bankruptcy federal district court today report negative information regard bankruptcy case,1,0
aplied chase credit card deny credit cale chase credit card department speak disconecte speak   ask main reason denial credit card state year old bankruptcy acount question charge bankruptcy bad debt recover money federal subsidy consumer credit protection act use information list curent credit report tell loke credit limit chase busine use old record file tok year clear bankruptcy file use deny credit credit report ask reconsider chase credit card faith build credit denial leter send bank review hear reconsider decision credit score outstanding debt payment time thank time,0,1
discriminate eplain age nation origin condition young man aplie credit card son schol right deny bank chase high schol friend chase chase like credit card aplied deny credit card aplication discriminate right bank let credit card right fair credit card chase young man right bank want credit card acept fel equal leave write fel bank bank deny aplication young man try start schol try credit chase right discriminate start future corect fele locate,0,1
rental   agency day   charge day   pick agency cale notify   rent head agency figure decide sel total purchase agrement pose refund rental   rent tell money apear acount busine day total charge acount day   day recharged acount know reason charge cale agency eplanation answer remove acount   procese eror near local bank ask information money bank acount pende procede valid confusion bank know owe rental bank clear wile coperate information bank eplain,0,2
initiate foreclosure action ilinois case   ch answer afirmative defense file receive chase reach setlement receive cash payment loan modification clear credit clause include credit afecte folowe setlement chase report late payment payment abate litigation reporting inacurate late payment acrued year old aware isue file dispute credit bureau deny unable document mater credit bureaus disclosure clause setlement agrement contact chase credit department resolve isue speak dispute escalate deny   speak mater escalate manager speak tell late payment loke computer scren eplain mater request documentation   cdt fa atached documentation chase case escalate admit compose leter denial receive faed document chase use diligence research continue cause economic hardship biled time emotional distre,0,3
bk year old ask chase remove bk mortgage statement embarase submit second loan refuse,0,3
notice cease unauthorized inquire credit report formal demand contact credit reporting agency bureau ilegal inquiry remove check personal credit report notice inquiry organization detail inquiry folow adre identification number inquiry   inquiry chase auto aprove organization person asociated organization inquiry violate fair credit reporting act section transaction initiate consumer demand remove personal information record send writen confirmation comply believe pose suficient document suport authorization inquiry copy verify validity,3,0
concern file complaint atempte resolve mater concern ach withdrawal   transfer wrong chase acount result deal situation month resolution chain event read perpleed proce place situation certain wil person face isue realize minimal point principle proce place son receive chain event tok advantage proce send son money reside acount chase check acount    vendor solicit acese acount send fund debit acount son acepte transfer complete profile complete proce son receive notification fund available    son check acount fund transfer confirm contact advising isue advise fund transfered wait day fund transfer wait transfer son acount cale advise nede contact chase tracking number track fund transfer son cale chase conference eplain situation representative confirm fund transfer advise help representative sugeste file claim bank advise tok action reason cal representative laugh advise clear advise bank ne file ach claim cale advise situation advise nede cal vendor resolution son cale vendor conference advise asist resolution nede cal bank chase advise action reason contact representative advise atempt lok unlikely able asist son hear vendor advise decide send online inquiry request open ach claim party resolution online inquiry submit claim vendor research month response resolution send online inquiry receive response indicate vendor nede contact chase resolution advise son route resolution representative work claim atempte contact chase advise unle son chase conference advise time son schedule chalenge atempt cordinate cal spend time atempte resolve mater party sugeste bring point write regulatory complaint review resolution believe eficient proce proce create aleviate future case customer,2,4
credit report lot acount open result aplye credit information cale chase time report crime close fraudulent acount adition provide police report continue stil leave acount open enhance new oportunitie fraud,1,0
money deposit bank money try today schedule valid payment chase acepte transaction delay pende review eplanation provide wait reasonable time hour contact chase cal hold minute recording busy answer cal number cale customer service number help transfer cale number hold minute try website try log receive folowing mesage important lock acount protect suspicious activity unlock wait hold minute answer ask personal question transaction busine neverthele answer question hold return help insist eplanation refuse bad service theft minimum customer able epect bank customer deposit money able draw want bank sense ethic regulation require obstruct transaction confiscate money,4,2
bank fes stop payment problem cancel   agrement month acepte charge couple time date date talk time helpful try conversation prof scare charge charge customer bad waste time ask questione end talk time use acount net mounth charge charge ne stop payment chase bank acount want stop insuficent dolar want block payment solution replacement cart waste time money fraude chase stop suporte case bank acount number email,1,2
acount balance discharge chapter case file convert chapter   date financial institution continue report acount negative grant relief debt want acount remove,2,0
today receive enclose email bank team acount ned restriction remove scam chase acount,0,2
  aply credit card notice acount activity credit score balance aply bank credit acount joint checking acount bank open credit card,0,1
chase credit card acount busine year personal credit report payment late bank eror chase decide report latene credit bureaus acount credit report acount previous year time payment personal credit report positive status bother report late decide ad late payment status afecte credit cause lengthy mortgage refinance proce come halt late payment credit report refinance stand lose chase entertain posibility eror refuse change information care litle customer service decade long customer relationship speak action,1,0
email receive indicate credit limit credit card reduce half indication forewarning cale confirm tell cal holiday info speak   afect credit rating card speak tell send sory receive chase decide use card credit limit slash half afect credit mention day option stop action speak supervisor tell send ability stop credit reduction respond day tell afect credit stay ratio credit use portion total credit available ask consider receive leter email time reverse reduction request speak superior long time hold tell coleague superior busine day ecelent credit infraction life furious afect credit rating result cause frustrated chase position,0,1
chase notify telephone cal acount overdue month payment owe late fes contact paper statement stop deliver mailbo tell opt paperle bile month eplain remember memory problem eplain default debt   year mistake report late month afecte credit score rate mortgage proce obtain tell courtesy adjustment continue eplain switch paperle bile memory problem submit leter   fact ne statement remember pay bil chase lender employ deception practice phrase question log online result turn paper statement generation want unfair deceptive pop question time log acount option select question answer like chase review practice understanding pop question confuse customer result ruining credit pop question log serve purpose save chase money postage paper,1,3
epose personal information open line credit credit card old   new phone cal crok change credit report info past year try pain sufering time health isue,4,0
company use lease apartment send security deposit refund check romate check writen cash check endorsement refuse answer cal tet order half security deposit refund landlord check cash   wek time try resolve lot time spend comunicate landlord police department try resolve isue resolution,4,2
regard complaint person bearing acount question leter date   chase adrese person tie acount atempt chase delay respond complaint,3,2
chase case number event cause bank wire daughter begin comunication ad apartment   number cal tet send tet certificate ownership apartment comple tell order apartment wire apartment deposit acount info acount acount number route number wire monie acount hold apartment tet copy receipt tell daughter send receipt bank wire receive monie wire transfer work meet work provide key apartment answer phone apartment manage inform owner asociate police station file report report forget phone car meet tomorow cal request monie return claim money   research acount notice friend picture like people locate research agent service live picture profile party involve ta claim money contact bank report incident help fund complaint chase case learn scam   contact chase fraud department close   contact chase fraud refer cal wire department wire department close talk acount stil active fund available    contact wire hrs proce bank wire contact wire department update inform request hold harmle leter representative inform wory care stil procese talk acount stil active fund available    contact wire department representative tell m bank recal deny bank ask speak manager minute hold transfered manager escalate investigator   request hold harmle leter sem want return money inform chase acount open fund acount   investigator cal hrs talk acount stil active fund available    cale chase wire department inform acount stil open fund stil acount ofere police report number refuse update investigator talk acount stil active fund available   mise normal busine hour cale wire department transfered email cale normal busine hour inform hold harmle leter procese cal cal cale hold minute disconecte hang time try folow investigator talk acount stil active fund available   wekend ofice close cal wire department transfered investigator cale ne print local bank fa email information   hand screnshot email mesage copy lease agrement tet mesage police report number   branch manager comunication wire department email wire department number case number busy wil return hour email wire contact wire contact wire department inform receive document hour talk hang wire department refuse transfer   yele argue know eact bank acount refuse lok acount social security number adre case number learn representative send email bank let know chase work acount cale hour refuse talk tell wire representative local bank answer   information cal wire department hour caling talk hold harmle leter request deny ask refuse reason cal tear transfered wire fraud department talk tok information police report number ask provide record email tet mesage police report police report day   police email report badge number phone police report number send email hold harmle investigation motion cal wire department recal request forward information send cale hour representative hang refuse transfer manager contact inform tell recal want money s ask hold harmle leter eplain procedure ne justify return money tell talk tell cal wire cale wire department lok   want money inform acount open fund cale complaint eecutive branch try help know wire department kep send cale cale wire department hold minute talk wire department want update wire recal ask acount number tell hang cale wire bank recal fact hold harmle deny case request transfer recal wil wil ask hold harmle send email request money return hold harmle leter wire department lie complaint chase diligence help chase wire department wile hold harmle leter work refuse send document intention punish family scam request ftc investigate consumer practice minority provide beter customer service hold harmle leter provide family life saving acount intend daughter colege lose money distrese daughter daughter set education peny ne colege education chase destroy life people color help thank,2,4
automotive run hard inquiry credit report wil negative impact credit score date monthly payment reason request aditional service organization,3,0
cal registry cal cel phone everyday number chase colection agency want stop,1,0
loan chase card payment time reason realize late payment credit report stelar payment record company try contact   chase card sucesful resolution report eror day late,1,0
file complaint regard bank loan payment history chase home chase mortgage chase refer complaint credit report diferent bank loan indicate servicer investor min match loan number indicate chase inde lender servicer notarized document loan sign date list credit report loan document liability act type mortgage owe remain term month act type loan owe remain term month let   purchase property refinance servicer single payment   payment mortgage year house live yrs act type heloc consumer instalment note lender loan credit report pay liability workshet delinquent property tais apear loan document lender insurance adrese previous complaint mark resolve isue fake loan liability chase manhaten   payment residential lending folowe chase chase reference eplain refi loan document submit complaint sugeste foreclosure paperwork initiate   foreclose document send include de trust record auditor file loan document indicate public record indicate stil foreclosure sale property ocuring ful reconveyance record remove   sumary    auditor asignment change credit report indicate wrong initiation date foreclosure inform stil payment high credit limit   payment chase loan loan pay suspect refi fi rate loan head tail credit report interest rate loan indicate adjustable rate consider home afordable loan modification record   de trust include adjustable rate note adjustable rate rider barcode land description mismatch font include ded ded change sign receive relate sale list sense stil debt evidence loan   suspect person purchase home real owner property,0,3
trouble mortage company pay late fes aplied large late fes cale ge runaround want know money pay,3,1
stil hear ofice contact file complaint fdic turn forward isue   transfered fund vacation rental   chase act act inform scam contact chase fraud dept phone bank speak oficer speak manager fund clear folowe day inform dupe ask stop payment people chase hede warning alowe money pick recipient folowe day hold epire person tok money reply thank,2,4
atachment specific detail unauthorized charge incorect bile credit acount constant run neglect resolve isue reasonable time chase,4,1
owe chase owe interest ne year repay loan wife pay loan lifetime cale chase talk lower interest payment   month decide help iresponsible chase create uncontrolable debt refuse negotiation constitute fraud fraud antitrust isue default loan,1,3
unauthorized transaction alowe procese financial institution incorect acount information merchant submit transaction incorect adre city zip code contact chase bank inquire advise certain merchant low acount validation requirement ask charge disalowe inform entire life turn closure card fact fail protect acount monie chose merchant proce transaction validate authorize consumer corect information acount try proce believe arbitrary acount validation requirement consumer jeopardy fraudulent activity right decide acount transaction base prior acount activity acount information submit conjunction transaction incorect recourse ofere cancel card file claim fraudulent transaction failing ensure information provide acurate comply reasonable customer asume standard security procedure come acount security,2,1
  man acese online bank profile acount remove secondary joint holder new acount change adre acount transfer original primary secondary acount holder convent file chase police report,4,0
receive harasing cal hour day include night wekend head household adre list inform want cal debt colector landline phone company harase night wekend inform number cale,1,0
trouble bank credit card isue manage prety hardship use like balance high remember apr late monthly month feel try plead work decline time checking acount kile fes pay fes transaction day balance acurate help,0,1
visit branch bank grandmother customer nede withdraw money acount ad acount help manage finance print power atorney nede notarize branch manager location rude refuse notarize document help ad signer grandmother acount cause scene loby bank kind treatment branch manager employe general unaceptable file complaint supervisor,4,2
dear   disatisfied lack suport defraud individual bank acount claim property manager require security deposit individual tell return money chase acount day receive money chase fail provide criminal information bank customer able pursue person request chase refund deposit prepared legal action chase create platform ease oportunity criminal set check acount comit wire fraud chase provide safeguard customer safety contact information chase customer use   phone number use email use  ,2,4
fraud chase ned investigate reference relation complaint mail request submision compliance document spele mistake date list mise mail fraud se atachment file dispute include suport documentation atache online total claim   file spend      dispute dispute total financial institution email aditional suport documentation atachment receive email response receival confirmation chase aditional atachment suport documentation email temporary credit isue receive response chase email chase update ask submit paperwork paperwork submit email chase atache notify chase busine question confirm refund procese disolution busine file dispute receive email denial service chase clarification provide atempte cal email secure mesaging answer provide atached chase folow let apeal dispute question multiple request receive comunication mater dispute department reason dispute atorney misconduct breach duty breach contract negligence contact report isue eecutive ofice branch email eecutive ofice branch fre agrement ade atachment ade fa list email atachment confirmation fa delivery mailing delivery confirmation fa mail claim dispute department time frame mail pickup information usp tracking item arive post ofice claim dispute department ecuse request information form mail email fa avoid delay denial temporary credit great day reason dispute atorney misconduct ecesive bile inacurate false information hiding evidence breach duty breach contract negligence dispute suport documentation atachment request se email ask retainer deposit tainer come ecesive bile cal email staf unable read write comprehend basic english language oposing atorney live archaic age   hand refuse filing begin case consider compliance atorney,2,1
